Name,Date,Time,Cleaned_text,Call
BitmexCourses,2022-11-05,00:26:53,"['NEAR', 'NEARUSDT', 'BinanceBuy', 'Between', '3.00', '-', '3.35Targets', '3.66', '-', '4.10', '-', '4.60', '-', '5.0', 'Stop', 'Loss', '2.70httpswww.tradingview.comxXeIRTIQu', 'BitmexCourses']","[array('NEAR', dtype='<U4'), array('USDT', dtype='<U4'), array('Binance', dtype='<U7'), array('Buy', dtype='<U3'), 'None', 'None', ['3.66', '4.10', '4.60', '5.0'], array('2.70', dtype='<U4')]"
BitmexCourses,2022-11-05,00:30:30,"['VET', 'VETUSDT', 'BinanceBuy', 'Between', '0.0240', '-', '0.0255Targets', '0.0270', '-', '0.0299', '-', '0.0333', '-', '0.0370Stop', 'loss', '0.0210httpswww.tradingview.comxyVQ4ClTg', 'BitmexCourses']","[array('VET', dtype='<U3'), array('USDT', dtype='<U4'), array('Binance', dtype='<U7'), array('Buy', dtype='<U3'), 'None', 'None', ['0.0270', '0.0299', '0.0333', '0.0370'], array('0.0210', dtype='<U6')]"
BitmexCourses,2022-11-05,00:33:32,"['KSM', 'KSMUSDT', 'BinanceBuy', 'Between', '34.0', '-', '36.7Targets', '40', '-', '44', '-', '48', '-', '55Stop', 'Loss', '30httpswww.tradingview.comxgBbd85Gz', 'BitmexCourses']","[array('KSM', dtype='<U3'), array('USDT', dtype='<U4'), array('Binance', dtype='<U7'), array('Buy', dtype='<U3'), 'None', 'None', ['40', '44', '48', '55'], array('30', dtype='<U2')]"
BitmexCourses,2022-11-05,00:36:10,"['DOT', 'DOTUSDT', 'BinanceBuy', '6.80', '-', '7.15Targets', '7.70', '-', '8.30', '-', '9.0', '-', '10Stop', 'Loss', '6.10httpswww.tradingview.comx2JleH1Jy', 'BitmexCourses']","[array('DOT', dtype='<U3'), array('USDT', dtype='<U4'), array('Binance', dtype='<U7'), array('Buy', dtype='<U3'), 'None', 'None', ['7.70', '8.30', '9.0', '10'], array('6.10', dtype='<U4')]"
BitmexCourses,2022-11-05,00:41:07,"['AR', 'ARUSDT', 'BinanceBuy', 'Between', '14.70', '-', '15.30Targets', '15.80', '-', '16.30', '-', '17', '-', '18Stop', 'loss', '13.40httpswww.tradingview.comxAIsVvG3f', 'BitmexCourses']","[array('AR', dtype='<U2'), array('USDT', dtype='<U4'), array('Binance', dtype='<U7'), array('Buy', dtype='<U3'), 'None', 'None', ['15.80', '16.30', '17', '18'], array('13', dtype='<U2')]"
BitmexCourses,2022-11-05,01:39:18,"['JASMY', 'JASMYUSDT', 'Binance', 'Buy', 'Between', '0.0055', '-', '0.0052', 'Targets', '0.0060', '-', '0.0066', '-', '0.0072', '-', '0.0080', 'Stop', 'loss', '0.0045', 'httpswww.tradingview.comx86tMAFcD', 'BitmexCourses']","[array('JASMY', dtype='<U5'), array('USDT', dtype='<U4'), array('Binance', dtype='<U7'), array('Buy', dtype='<U3'), 'None', 'None', ['0.0060', '0.0066', '0.0072', '0.0080'], array('0.0045', dtype='<U6')]"
BitmexCourses,2022-11-10,19:17:11,"['BindToken', 'launched', 'soonBind', 'promising', 'project', 'worth', 'attentionNow', 'join', 'whitelist', 'able', 'buy', 'token', 'private', 'sale', 'price.I', 'think', 'able', 'sell', 'even', 'X2', 'price', 'Here', 'I', 'leave', 'link', 'join', 'Bind', 'WL', 'take', 'part', '25k', 'GWhttpsbit.lyBINDCryptoBullCrypto']","['None', 'None', 'None', 'None', 'None', 'None', 'None', 'None']"
BitmexCourses,2022-11-10,19:19:27,"['Crypto', 'Bull', 'Crypto', 'Experts', 'pinned', '«BindToken', 'launched', 'soon', 'Bind', 'promising', 'project', 'worth', 'attention', 'Now', 'join', 'whitelist', 'able', 'buy', 'token', 'private', 'sale', 'price.', 'I', 'think', 'able', 'sell', 'even', 'X2', 'price', 'Here…»']","['None', 'None', 'None', 'None', 'None', 'None', 'None', 'None']"
BitmexCourses,2022-11-16,04:31:36,"['MASK', 'MASKUSDT', 'BinanceBuy', 'Between', '2.90', '-', '3.20Targets', '3.40', '-', '3.66', '-', '3.99', '-', '4.40Stop', 'Loss', '2.60httpswww.tradingview.comxqHOwXDHr', 'BitmexCourses']","[array('MASK', dtype='<U4'), array('USDT', dtype='<U4'), array('Binance', dtype='<U7'), array('Buy', dtype='<U3'), 'None', 'None', ['3.40', '3.66', '3.99', '4.40'], array('2.60', dtype='<U4')]"
BitmexCourses,2022-11-21,23:06:32,"['Best', 'Crypto', 'Signals', 'one', 'Place', 'Start', 'Making', 'Real', 'Money', 'usWith', 'u', 'find', 'everything', 'need📈', 'Trade', 'Signals', 'From', 'Top', 'Traders🎓', 'Education', 'Programs📲', 'Online', 'Support', '0024Telegram', 'Channel', '👇🏻httpst.mePremiumSignalsForwardWeb', 'Site', '👇🏻httpscryptosignals.ukAdmin👇🏻ProCryptoNY2']","['None', 'None', 'None', 'None', 'None', 'None', 'None', 'None']"
BitmexCourses,2022-11-23,03:38:02,"['QI', 'QIUSDT', 'BinanceBuy', '0.0078', '-', '0.0083Targets', '0.0089', '-', '0.010', '-', '0.0111', '-', '0.0124Stop', 'loss', '0.0066httpswww.tradingview.comx97mip2pk', 'BitmexCourses']","[array('QI', dtype='<U2'), array('USDT', dtype='<U4'), array('Binance', dtype='<U7'), array('Buy', dtype='<U3'), 'None', 'None', ['0.0089', '0.010', '0.0111', '0.0124'], array('0.0066', dtype='<U6')]"
BitmexCourses,2022-11-23,03:43:02,"['MASK', 'MASKUSDT', 'BinanceBuy', '2.55', '-', '2.70Targets', '2.84', '-', '2.99', '-', '3.25', '-', '3.60Stop', 'Loss', '2.33httpswww.tradingview.comxsTDP6rPK', 'BitmexCourses']","[array('MASK', dtype='<U4'), array('USDT', dtype='<U4'), array('Binance', dtype='<U7'), array('Buy', dtype='<U3'), 'None', 'None', ['2.84', '2.99', '3.25', '3.60'], array('2.33', dtype='<U4')]"
BitmexCourses,2022-11-24,05:11:10,"['ACA', 'ACAUSDT', 'BinanceBuy', 'Between', '0.133', '-', '0.144Targets', '0.160', '-', '0.175', '-', '0.190', '-', '0.222Stop', 'Loss', '0.120httpswww.tradingview.comxC1P3C4Xy', 'BitmexCourses']","[array('ACA', dtype='<U3'), array('USDT', dtype='<U4'), array('Binance', dtype='<U7'), array('Buy', dtype='<U3'), 'None', array('4', dtype='<U1'), ['0.160', '0.175', '0.190', '0.222'], array('0.120', dtype='<U5')]"
BitmexCourses,2022-11-25,04:55:39,"['TWT', 'TWTUSDT', 'BinanceBuy', 'Between', '2.10', '-', '2.18Targets', '2.33', '-', '2.50', '-', '2.66', '-', '2.80Stop', 'Loss', '1.94httpswww.tradingview.comxDQzcNt3C', 'BitmexCourses']","[array('TWT', dtype='<U3'), array('USDT', dtype='<U4'), array('Binance', dtype='<U7'), array('Buy', dtype='<U3'), 'None', 'None', ['2.33', '2.50', '2.66', '2.80'], array('1.94', dtype='<U4')]"
BitmexCourses,2022-11-25,12:19:32,"['MASK', 'MASKUSDT', 'BinanceBuy', '2.66', '-', '2.87Targets', '2.99', '-', '3.25', '-', '3.60', '-', '3.90Stop', 'Loss', '2.45httpswww.tradingview.comxdWqiyVEX', 'BitmexCourses']","[array('MASK', dtype='<U4'), array('USDT', dtype='<U4'), array('Binance', dtype='<U7'), array('Buy', dtype='<U3'), 'None', 'None', ['2.99', '3.25', '3.60', '3.90'], array('2.45', dtype='<U4')]"
BitmexCourses,2022-11-26,05:04:28,"['LTC', 'LTCUSDT', 'BinanceBuy', 'Between', '75.50', '-', '77.70Targets', '78.50', '-', '80', '-', '86', '-', '92Stop', 'Loss', '70Leverage', '2-3xhttpswww.tradingview.comxiB16tTio', 'BitmexCourses']","[array('LTC', dtype='<U3'), array('USDT', dtype='<U4'), array('Binance', dtype='<U7'), array('Buy', dtype='<U3'), 'None', array('3', dtype='<U1'), ['78.50', '80', '86', '92'], array('70', dtype='<U2')]"
BitmexCourses,2022-11-26,06:13:28,"['FARM', 'FARMUSDT', 'BinanceBuy', 'Between', '34', '-', '37Targets', '40', '-', '44', '-', '48', '-', '55Stop', 'Loss', '30httpswww.tradingview.comx0lHqBRZ2', 'BitmexCourses']","[array('FARM', dtype='<U4'), array('USDT', dtype='<U4'), array('Binance', dtype='<U7'), array('Buy', dtype='<U3'), 'None', 'None', ['40', '44', '48', '55'], array('30', dtype='<U2')]"
BitmexCourses,2022-11-29,03:26:37,"['DASH', 'DASHUSDT', 'BinanceBuy', 'Between', '40', '-', '41.60targets', '43', '-', '46', '-', '50', '-', '55Stop', 'Loss', '38Leverage', '3-5xhttpswww.tradingview.comxamRVL1LQ', 'BitmexCourses']","[array('DASH', dtype='<U4'), array('USDT', dtype='<U4'), array('Binance', dtype='<U7'), array('Buy', dtype='<U3'), 'None', array('5', dtype='<U1'), ['43', '46', '50', '55'], array('38', dtype='<U2')]"
